Estado,Municipio,División,,,,,,,,,,,,,,,,,,,,,,
COAHUILA,SALTILLO,GOLFO NORTE,,,,,,,,,,,,,,,,,,,,,,
COAHUILA,SAN BUENAVENTURA,GOLFO NORTE,,,,,,,,,,,,,,,,,,,,,,
COAHUILA,SAN JUAN DE SABINAS,GOLFO NORTE,,,,,,,,,,,,,,,,,,,,,,
COAHUILA,SAN PEDRO,BAJÍO,,,,,,,,,,,,,,,,,,,,,,
COAHUILA,SAN PEDRO,NORTE,,,,,,,,,,,,,,,,,,,,,,
COAHUILA,SIERRA MOJADA,NORTE,,,,,,,,,,,,,,,,,,,,,,
COAHUILA,TORREON,NORTE,,,,,,,,,,,,,,,,,,,,,,
COAHUILA,VIESCA,NORTE,,,,,,,,,,,,,,,,,,,,,,
COAHUILA,VILLA UNION,GOLFO NORTE,,,,,,,,,,,,,,,,,,,,,,
COAHUILA,ZARAGOZA,GOLFO NORTE,,,,,,,,,,,,,,,,,,,,,,
COLIMA,ARMERIA,CENTRO OCCIDENTE,,,,,,,,,,,,,,,,,,,,,,
COLIMA,COLIMA,CENTRO OCCIDENTE,,,,,,,,,,,,,,,,,,,,,,
COLIMA,COMALA,CENTRO OCCIDENTE,,,,,,,,,,,,,,,,,,,,,,
COLIMA,COQUIMATLAN,CENTRO OCCIDENTE,,,,,,,,,,,,,,,,,,,,,,
COLIMA,CUAUHTEMOC,CENTRO OCCIDENTE,,,,,,,,,,,,,,,,,,,,,,
COLIMA,IXTLAHUACAN,CENTRO OCCIDENTE,,,,,,,,,,,,,,,,,,,,,,
COLIMA,MANZANILLO,CENTRO OCCIDENTE,,,,,,,,,,,,,,,,,,,,,,
